Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
1/29/2013,458.5,460.2,452.12,458.27,20398500,0,1,58.36704913,58.58345912,57.55487514,58.33777013,142789500
1/28/2013,437.825,453.21,435.86,449.83,28054200,0,1,55.73512166,57.69363214,55.48497717,57.26335814,196379400
1/25/2013,451.69,456.23,435,439.88,43143800,0,1,57.50013614,58.07807813,55.37549917,55.99672316,302006600
1/24/2013,460,465.73,450.25,450.5,52173300,0,1,58.55799912,59.28742811,57.31682414,57.34864914,365213100
1/23/2013,508.81,514.99,504.77,514.005,30768200,0,1,64.77151203,65.55822602,64.25722004,65.43283552,215377400
1/22/2013,504.56,507.88,496.63,504.77,16483800,0,1,64.23048704,64.65312303,63.22099805,64.25722004,115386600
1/18/2013,498.516,502.22,496.4,500,16890100,0,1,63.46108585,63.93260504,63.19171905,63.64999905,118230700
1/17/2013,510.31,510.75,502.03,502.68,16202800,0,1,64.96246203,65.01847403,63.90841804,63.99116304,113419600
1/16/2013,494.64,509.44,492.5,506.09,24671600,0,1,62.96767106,64.85171103,62.69524906,64.42525603,172701200
1/15/2013,498.3,498.99,483.38,485.92,31313300,0,1,63.43358905,63.52142605,61.53427308,61.85761507,219193100
1/14/2013,502.68,507.5,498.51,501.75,26221700,0,1,63.99116304,64.60474903,63.46032205,63.87277404,183551900
1/11/2013,521,525.32,519.02,520.3,12518100,0,1,66.32329901,66.873235,66.07124501,66.23418901,87626700
1/10/2013,528.55,528.72,515.52,523.51,21469500,0,1,67.28441399,67.30605499,65.62569502,66.642822,150286500
1/9/2013,522.5,525.0054,515.99,517.1,14557300,0,1,66.514249,66.83318642,65.68552602,65.82682901,101901100
1/8/2013,529.21,531.89,521.25,525.31,16382400,0,1,67.36843199,67.70959598,66.35512401,66.871962,114676800
1/7/2013,522,529.3,515.2,523.9,17291300,0,1,66.450599,67.37988899,65.58495902,66.692469,121039100
1/4/2013,536.965,538.6299,525.8286,527,21226200,0,1,68.35564348,68.56758524,66.93797978,67.08709899,148583400
1/3/2013,547.88,549.67,541,542.0959,12605900,0,1,69.74512295,69.97298995,68.86929897,69.00880704,88241300
1/2/2013,553.82,555,541.63,549.03,20018500,0,1,70.50128494,70.65149894,68.94949797,69.89151795,140129500
12/31/2012,510.53,535.4,509,532.1729,23553300,0,1,64.99046803,68.15641898,64.79569903,67.74560915,164873100
12/28/2012,510.29,514.48,508.12,509.5892,12652800,0,1,64.95991603,65.49330302,64.68367503,64.87070419,88569600
12/27/2012,513.54,516.25,504.66,515.06,16254300,0,1,65.37364102,65.71862401,64.24321704,65.56713702,113780100
12/26/2012,519,519.46,511.12,512.9995,10801300,0,1,66.06869901,66.12725701,65.06557502,65.30483537,75609100
12/24/2012,520.35,524.25,518.71,520.168,6276900,0,1,66.24055401,66.737024,66.03178201,66.21738541,43938300
12/21/2012,512.47,519.67,510.24,519.33,21295300,0,1,65.23743002,66.15399001,64.95355103,66.11070801,149067100
12/20/2012,530,530.2,518.88,521.7302,17203200,0,1,67.46899899,67.49445899,66.05342301,66.41625346,120422400
12/19/2012,531.47,533.7,525.5,526.31,16048900,0,1,67.65612999,67.94000898,66.896149,66.999262,112342300
12/18/2012,525,534.9,520.25,533.9,22345900,0,1,66.832499,68.09276898,66.22782401,67.96546898,156421300
12/17/2012,508.93,520,501.23,518.83,27057400,0,1,64.78678803,66.19599901,63.80657804,66.04705801,189401800
12/14/2012,514.75,518.132,505.58,509.794,36056400,0,1,65.52767402,65.95820261,64.36033304,64.89677523,252394800
